exp_subject_id,song_id,similarity
592428,2011_1,1
592428,2008_3,2
592428,2011_4,1
592428,2010_1,1
592429,2018_4,4
592429,2019_1,6
592429,2017_5,7
592429,2016_2,7
592429,2013_1,6
592429,2014_2,6
592429,2018_5,5
592429,2012_1,6
592429,2019_4,6
592429,2016_5,6
592429,2019_2,5
592429,2014_3,6
592429,2015_3,7
592429,2009_3,7
592429,2017_4,4
592429,2018_2,6
592429,2012_5,6
592429,2019_3,6
592429,2008_2,5
592429,2017_3,6
592429,2012_4,6
592429,2017_2,7
592429,2010_2,7
592429,2013_5,5
592429,2011_3,5
592429,2011_4,5
592429,2014_1,7
592429,2015_4,5
592429,2016_4,6
592429,2017_1,5
592429,2015_1,7
592429,2011_2,6
592429,2011_1,5
592429,2012_2,6
592429,2014_4,5
592429,2010_3,6
592429,2016_1,6
592429,2018_1,6
592429,2012_3,3
592429,2014_5,5
592429,2015_2,7
592429,2010_1,6
592429,2013_6,7
592429,2016_3,6
592429,2013_3,6
592429,2009_2,6
592429,2018_3,6
592429,2015_5,5
592429,2013_2,5
592429,2008_3,3
592430,2015_3,5
592430,2017_5,4
592430,2016_2,6
592430,2017_3,5
592430,2019_4,5
592430,2012_5,3
592430,2017_2,3
592430,2008_2,3
592430,2013_5,2
592430,2019_1,4
592430,2018_2,4
592430,2014_3,2
592430,2017_4,2
592430,2016_5,1
592430,2011_3,7
592430,2012_1,4
592430,2013_1,2
592430,2019_3,1
592430,2014_2,3
592430,2018_5,2
592430,2018_4,4
592430,2012_4,3
592430,2010_2,4
592430,2019_2,2
592430,2009_3,6
592430,2011_4,1
592430,2016_3,2
592430,2012_3,3
592430,2009_2,2
592430,2011_1,2
592430,2013_6,5
592430,2008_3,1
592430,2014_5,3
592430,2016_4,4
592430,2015_1,4
592430,2011_2,3
592430,2013_3,5
592430,2015_4,1
592430,2010_1,3
592430,2013_2,3
592430,2017_1,3
592430,2015_5,5
592430,2010_3,3
592430,2016_1,2
592430,2018_1,2
592430,2014_4,2
592430,2015_2,7
592430,2018_3,7
592430,2014_1,4
592430,2012_2,4
592431,2014_3,3
592431,2019_2,3
592431,2018_5,4
592431,2013_1,5
592431,2016_5,3
592431,2017_4,6
592431,2011_3,7
592431,2019_1,5
592431,2014_2,3
592431,2016_2,7
592431,2015_3,6
592431,2019_3,1
592431,2012_4,2
592431,2012_5,1
592431,2017_3,3
592431,2008_2,2
592431,2019_4,1
592431,2009_3,4
592431,2017_2,5
592431,2018_4,4
592431,2018_2,6
592431,2010_2,5
592431,2017_5,5
592431,2013_5,3
592431,2012_1,6
592431,2008_3,1
592431,2015_1,6
592431,2011_1,5
592431,2016_4,3
592431,2014_4,5
592431,2018_1,6
592431,2012_2,2
592431,2015_2,5
592431,2014_5,5
592431,2016_3,2
592431,2013_3,5
592431,2016_1,1
592431,2012_3,1
592431,2017_1,1
592431,2013_2,4
592431,2015_4,1
592431,2014_1,6
592431,2010_3,1
592431,2018_3,6
592431,2010_1,7
592431,2013_6,7
592431,2009_2,1
592431,2015_5,4
592431,2011_4,1
592431,2011_2,1
592442,2009_3,5
592442,2017_3,5
592442,2018_4,4
592442,2019_2,3
592442,2013_5,5
592442,2017_5,4
592442,2014_3,4
592442,2016_5,3
592442,2012_5,4
592442,2012_1,6
592442,2018_5,3
592442,2018_2,5
592442,2011_3,6
592442,2019_1,7
592442,2017_4,5
592442,2019_3,4
592442,2008_2,4
592442,2017_2,5
592442,2013_1,4
592442,2015_3,6
592442,2016_2,7
592442,2012_4,4
592442,2010_2,6
592442,2014_2,5
592442,2019_4,4
592442,2013_6,6
592442,2011_2,5
592442,2014_4,5
592442,2015_2,7
592442,2017_1,3
592442,2015_1,7
592442,2010_1,3
592442,2016_3,4
592442,2012_3,4
592442,2015_5,6
592442,2009_2,3
592442,2011_4,5
592442,2014_1,5
592442,2010_3,4
592442,2013_3,7
592442,2011_1,5
592442,2018_1,5
592442,2018_3,7
592442,2016_1,4
592442,2012_2,5
592442,2014_5,5
592442,2013_2,4
592442,2008_3,5
592442,2016_4,4
592442,2015_4,5
592441,2012_4,6
592441,2016_5,2
592441,2015_3,7
592441,2014_3,5
592441,2013_1,5
592441,2019_2,3
592441,2008_2,5
592441,2017_5,6
592441,2018_5,2
592441,2014_2,2
592441,2009_3,7
592441,2016_2,7
592441,2019_3,2
592441,2012_1,5
592441,2011_3,7
592441,2013_5,3
592441,2018_2,7
592441,2019_1,6
592441,2010_2,7
592441,2017_4,6
592441,2018_4,2
592441,2017_2,7
592441,2017_3,7
592441,2019_4,5
592441,2012_5,3
592441,2011_1,6
592441,2015_4,4
592441,2011_4,1
592441,2015_2,7
592441,2016_1,2
592441,2013_6,6
592441,2018_3,7
592441,2014_5,6
592441,2018_1,5
592441,2015_5,3
592441,2014_4,5
592441,2012_3,4
592441,2016_3,5
592441,2013_2,6
592441,2016_4,1
592441,2008_3,1
592441,2013_3,6
592441,2010_1,1
592441,2014_1,7
592441,2011_2,5
592441,2015_1,6
592441,2009_2,1
592441,2010_3,2
592441,2017_1,5
